rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
500,7344,61,101061,786,0.7,0.6578901054449686,2.0355786526185,0.0054116529497139874,0.0082257703907156,0.011015845219817728,0.3810087620015036
500,7344,62,101062,826,0.9,0.7058620398420157,1.8751435392696607,0.0059447517266054215,0.008421973970913581,0.011147262792706317,0.3555940160072665
500,7344,63,101063,792,0.75,0.6358158862508148,2.0677653046290243,0.005808896498462171,0.00913612985154431,0.012011434637701103,0.3778833752673675
500,7344,64,101064,793,0.78,0.6859700578060551,2.000399253323516,0.006114928602898041,0.008914279177804754,0.012232298611363853,0.3856752414979224
500,7344,65,101065,736,0.64,0.6804951305592506,1.9361375989675558,0.005613844015048408,0.0082496461222798,0.010869174472274206,0.3622565277293094
500,7344,66,101066,775,0.79,0.6794347308645348,1.9259845826640465,0.0056274794041610504,0.008282590142250254,0.010838438571673638,0.3582991934481502
500,7344,67,101067,749,0.53,0.6569527741438885,1.9566403368073502,0.005689025191395629,0.008659717129300979,0.011131376166597843,0.3554821027541418
500,7344,68,101068,773,0.69,0.6512704029822678,1.9775427732903896,0.005470036974217264,0.008399025887203104,0.01081723208799458,0.3589366138860588
500,7344,69,101069,812,0.8,0.7059920820091717,1.878073209894451,0.006252772410252228,0.008856717475439048,0.011743164351261865,0.3566687208943099
500,7344,70,101070,766,0.64,0.6989439850178981,1.8786529700783619,0.005919155608821778,0.008468712422884939,0.011120039264869028,0.3530657721164001
500,7344,71,101071,821,0.88,0.6644064303015256,1.9264240710423486,0.005656669687557886,0.008513869567744456,0.010897144648047113,0.34980493913871946
500,7344,72,101072,807,0.52,0.6923828596982576,1.972118742440805,0.0060144740595262786,0.008686630489592713,0.011861257018715808,0.3802889303417756
500,7344,73,101073,828,0.71,0.6314742447020112,2.0868189303373006,0.0055658360054639255,0.008814034859157889,0.011614891939355063,0.3809726797415094
500,7344,74,101074,817,0.83,0.669157586884252,1.9701765771057536,0.0059574754109931955,0.008902948315556786,0.011737278513422267,0.3669561598305683
500,7344,75,101075,781,0.71,0.6876243759229272,1.9689196414711647,0.005814447767613453,0.008455848819799792,0.011448180413962294,0.37674389853215995
500,7344,76,101076,797,0.61,0.6053863919661269,2.2061152986020693,0.005233370235309715,0.008644677688101282,0.011545418139365474,0.39898028135974795
