chrom	win	n_sites	fst
1	25700000	14933	0.026100265566778243
1	25800000	17666	0.025330725016245115
1	25900000	15902	0.029227841310839213
1	26000000	16881	0.015474442473290913
1	26100000	18145	0.02025736827000707
1	26200000	19466	0.017718603570684152
1	26300000	20203	0.006098176644550009
1	26400000	17942	0.01684572606244807
1	26500000	18136	0.02317460490087163
1	26600000	17985	0.011997906701851174
1	26700000	17369	0.011522523512901917
1	26800000	17785	0.017262586064154622
1	26900000	17653	0.026856006529673074
1	27000000	19583	0.01899035917983874
1	27100000	18458	0.016225097811237276
1	27200000	16872	0.027455370872338482
1	27300000	17236	0.01748044429113766
1	27400000	16878	0.020206651445957666
1	27500000	16058	0.01784624759493997
1	27600000	17566	0.008401850053202445
1	27700000	14587	0.008149666225905672
1	27800000	17684	0.011797565459322649
1	27900000	16864	0.037765722276165176
1	28000000	17952	0.023828542562301748
1	28100000	19036	0.02468478650043225
1	28200000	17324	0.018305215394086808
1	28300000	14450	0.02380828511549584
1	28400000	18772	0.016508431340771734
1	28500000	19666	0.02481224690794223
1	28600000	18956	0.018008397469758342
1	28700000	17914	0.03176302893874351
1	28800000	18360	0.018331889282210218
1	28900000	12162	0.022479327491362354
1	29000000	17980	0.031194682944086952
1	29100000	16913	0.015145018148471166
1	29200000	18308	0.011898927737349402
1	29300000	3916	0.013893992736034316
1	29400000	4083	0.03677439836561074
1	29500000	16479	0.03371000706296494
1	29600000	17744	0.016803757745192834
1	29700000	16294	0.024565777720300865
1	29800000	17599	0.03652673711047885
1	29900000	15693	0.01783489464964663
1	30000000	17523	0.023474123529923927
1	30100000	17913	0.025637403562218296
1	30200000	16792	0.025508119099864827
1	30300000	17187	0.023826679554981474
1	30400000	14817	0.01709170399042626
1	30500000	17039	0.019477168944266206
1	30600000	16096	0.028443032026027416
1	30700000	16345	0.025779616058206792
1	30800000	17054	0.021541215384212803
1	30900000	15137	0.018314064421706997
1	31000000	16423	0.01453269728270675
1	31100000	15152	0.02412444302301179
1	31200000	15131	0.018603872749148723
1	31300000	12090	0.007308559617949934
1	31400000	9982	0.01200228649697071
1	31500000	11647	0.008954261274821107
1	31600000	10586	0.012442185420638227
1	31700000	9634	0.00937168115136174
1	31800000	11033	0.006716034617451821
1	31900000	10271	0.008961602227274828
1	32000000	11214	0.008100124419669666
1	32100000	12152	0.010243600674182491
1	32200000	10539	0.020732279339744492
1	32300000	11758	0.007309681207049379
1	32400000	12053	0.015031849918086471
1	32500000	12659	0.018943129904128508
1	32600000	11203	0.028035179512465203
1	32700000	12923	0.00998235748079256
1	32800000	12579	0.026516013786159375
1	32900000	13397	0.013434423220990248
1	33000000	11513	0.017854199388212873
1	33100000	7836	0.00949476718083141
